,год,время_года,климат,город,страна,способ_охлаждения,режим_при_смешанном_типе_охлаждения,способ_обогрева,возраст,пол,ощущение_температуры,ощущение_температуры_(bool),предпочтительное_изменение_температуры,ощущение_движения_воздуха_(bool),предпочтительное_изменение_движения_воздуха,оценка_комфорта,утепление,температура_воздуха_в_помещении,rh,скорость_воздуха,рост,вес,занавески,вентилятор,окно,двери,среднемесячная_температура_на_улице,количество_рекламаций,countmen,реклам_категория,возрастная_категория,precent_satisf,стандр_комф_вл
71,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Женский,1.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.4,68.7,0.09,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,средний возраст,57,not OK
72,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55,Женский,0.0,1.0,Без изменений,1.0,Без изменений,,0.43,22.3,58.5,0.08,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,средний возраст,57,OK
73,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45,Женский,-1.0,0.0,Теплее,1.0,Без изменений,,0.39,23.6,58.3,0.08,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,57,OK
74,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65,Женский,1.0,0.0,Холоднее,0.0,Больше,,0.39,24.8,51.6,0.12,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,пожилой возраст,57,OK
75,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Мужской,2.0,0.0,Холоднее,0.0,Больше,,0.4,24.2,53.3,0.12,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,78,OK
76,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,23.0,62.2,0.11,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,78,not OK
77,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,35,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.58,22.4,60.2,0.1,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,78,not OK
78,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35,Женский,1.0,1.0,Без изменений,1.0,Без изменений,,0.68,24.4,59.0,0.09,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,молодой возраст,57,OK
79,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.2,62.8,0.08,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,78,not OK
80,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45,Женский,1.0,1.0,Без изменений,0.0,Больше,,0.52,24.3,59.5,0.09,170.2,63.0,0.0,1.0,0.0,1.0,22.0,0,1,мало,средний возраст,57,OK
81,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.6,70.1,0.08,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,78,not OK
82,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,55,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,24.5,71.5,0.11,170.2,63.0,0.0,1.0,1.0,0.0,22.0,0,1,мало,средний возраст,78,not OK
83,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55,Женский,-2.0,0.0,Теплее,0.0,Меньше,,0.71,22.5,68.4,0.1,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,57,not OK
84,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,45,Женский,1.0,1.0,Без изменений,1.0,Без изменений,,0.42,25.3,69.4,0.13,170.2,63.0,0.0,1.0,1.0,1.0,22.0,0,1,мало,средний возраст,57,not OK
85,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,65,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.46,25.0,73.1,0.06,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,пожилой возраст,78,not OK
86,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,45,Мужской,0.0,1.0,Без изменений,1.0,Без изменений,,0.55,23.5,64.0,0.07,170.2,63.0,0.0,1.0,0.0,0.0,22.0,0,1,мало,средний возраст,78,not OK
87,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Кондиционирование,Механическое отопление,35,Мужской,1.0,0.0,Холоднее,0.0,Больше,,0.46,24.4,64.1,0.04,170.2,63.0,0.0,1.0,1.0,1.0,22.0,0,1,мало,молодой возраст,78,not OK
88,2010,Лето,Cубтропический океанический,Сидней,Австралия,Смешанный,Вентиляция,Механическое отопление,55,Женский,0.0,1.0,Без изменений,1.0,Без изменений,,0.59,22.9,65.6,0.04,170.2,63.0,0.0,1.0,1.0,1.0,22.0,0,1,мало,средний возраст,57,not OK
